swiss_french,standard_french,dialect,part_of_speech,definition,source,notes
personne,,vaud,unknown,:déjeuner avec sesamis;etdedevant unnom de,Glossaire vaud (1861),Line 2210
chose,"déjeuner decafé,dechocolat ",vaud,unknown,":déjeuner decafé,dechocolat .",Glossaire vaud (1861),Line 2211
signe,,vaud,unknown,"correctif ,indiquant qu'il faut supprimer .N.P.de-",Glossaire vaud (1861),Line 2213
liatur,,vaud,unknown,.,Glossaire vaud (1861),Line 2214
délicater,,vaud,unknown,"lesenfants .N.P.délicatiser .-Achintoner ,pour dé-",Glossaire vaud (1861),Line 2216
licater,,vaud,unknown,",P.F.,demême quelemotachinton enparlant d'un",Glossaire vaud (1861),Line 2218
enfant,,vaud,unknown,auquel onprodigue dessoins exagérés . l'action désirée dudemandeur :ildemande àmanger .De-,Glossaire vaud (1861),Line 2219
mander,,vaud,unknown,"de,exprime ledésir del'action d'autrui :ildemande d'être exempté .-N.P.demander après quelqu'un ;D.de-",Glossaire vaud (1861),Line 2222
mander,,vaud,unknown,"quelqu'un ;demander àvoir quelqu'un ,àparler à quelqu'un .N.P.demander sadémission ;D.donner sa",Glossaire vaud (1861),Line 2224
démission,,vaud,unknown,.,Glossaire vaud (1861),Line 2226
dernière,expression estnéeàGenève ,vaud,unknown,expression estnéeàGenève .,Glossaire vaud (1861),Line 2229
lespavés,,vaud,unknown,",pour damer .Onpeut direaussi unedame .",Glossaire vaud (1861),Line 2231
rendu,,vaud,unknown,";être recru ,n'en pouvoir plus.-N.P.lesdents del'œil,",Glossaire vaud (1861),Line 2233
laires,,vaud,unknown,.,Glossaire vaud (1861),Line 2235
parier,Voyez appareiller .,vaud,unknown,.(Voyez appareiller .),Glossaire vaud (1861),Line 2237
dessuffrages,,vaud,unknown,quisont ennombre égal pour deux avis oppo- sés.Leprivilége decelui quiavoixprépondérante dans une,Glossaire vaud (1861),Line 2239
assemblée,,vaud,unknown,"estdeladépartager ,enfaisant prévaloir l'avis",Glossaire vaud (1861),Line 2241
auquel,ilserange .N.P.détabler ,vaud,unknown,ilserange .N.P.détabler .,Glossaire vaud (1861),Line 2242
dehaillons,,vaud,unknown,",dont lamise estendésordre .",Glossaire vaud (1861),Line 2245
ployons,,vaud,unknown,"mal lorsque nous disons ,parexemple :Attendez",Glossaire vaud (1861),Line 2247
quejesoisdépressé,pour dire:Attendez quejesoismoins,vaud,unknown,",pour dire:Attendez quejesoismoins",Glossaire vaud (1861),Line 2248
pressé,,vaud,unknown,.Dépresser signifie :ôter delapresse ;dépresser unli-,Glossaire vaud (1861),Line 2249
vre,,vaud,unknown,fraîchement relié . 72 DEP,Glossaire vaud (1861),Line 2250
raison,,vaud,unknown,.L'expression dire tarepour barre P.F.,Glossaire vaud (1861),Line 2254
toujours,,vaud,unknown,"lepétoillon desaclasse .Ilestàladernière ,",Glossaire vaud (1861),Line 2256
ilenestàladernière,"pour dire,ouilvamourir ,ouilvadé-",vaud,unknown,",pour dire,ouilvamourir ,ouilvadé-",Glossaire vaud (1861),Line 2257
poser,,vaud,unknown,"sonbilan .Ladernière sonne ,c'est -à-dire,lemoment",Glossaire vaud (1861),Line 2258
estvenu,,vaud,unknown,";iln'yapasdetemps àperdre ,dépêchez -vous.",Glossaire vaud (1861),Line 2259
neserait,,vaud,unknown,-ellepaslaconséquence delamanière dont nous,Glossaire vaud (1861),Line 2261
appelons,,vaud,unknown,lesfidèles autemple ?Onsait quenous mettons,Glossaire vaud (1861),Line 2262
plusieurs,foislescloches enbranle ,vaud,unknown,foislescloches enbranle .,Glossaire vaud (1861),Line 2263
lamaison,,vaud,unknown,;D.derrière lamaison . l'eau forte .Onnepeut donc pasemployer leverbe déro-,Glossaire vaud (1861),Line 2266
cher,,vaud,unknown,"dans lesens detomber ,faire tomber ,dégringoler .",Glossaire vaud (1861),Line 2269
allemand,,vaud,unknown,",sagrammaire ;D.iladésappris sonallemand , etc.",Glossaire vaud (1861),Line 2271
étoffes,,vaud,unknown,"désassorties ;mais unepersonne ,unmarchand ,nepeut pasdire,jesuisdésassorti .",Glossaire vaud (1861),Line 2274
àdonner,,vaud,unknown,"del'argent .N.P.êtreduràladétente . drelefeuP.F.-Nous disons quelquefois :cethomme dé- teint,pour direqu'ilnefaitquerépéter cequ'un autre adit.",Glossaire vaud (1861),Line 2279
dont,,vaud,unknown,lesqualités nesont passolides .Apropos dusens que,Glossaire vaud (1861),Line 2284
nous,,vaud,unknown,"donnons aumot déteindre ,jeciterai lesdeux vers sui-",Glossaire vaud (1861),Line 2286
vants,,vaud,unknown,deVillon ;jelestrouve excellents :,Glossaire vaud (1861),Line 2287
gatoillon,,vaud,unknown,.,Glossaire vaud (1861),Line 2291
dérégler,,vaud,unknown,enparlant despersonnes .Ces deux verbes sont,Glossaire vaud (1861),Line 2293
français,,vaud,unknown,;mais lesubs.détraque nel'est pas.N.P.j'ai la,Glossaire vaud (1861),Line 2294
détraque,ilaladétraque ,vaud,unknown,",ilaladétraque .",Glossaire vaud (1861),Line 2295
aller,Acad .,vaud,unknown,"leurs chevaux àgauche ,comme ilsseservent desmots hue,huhau ouhurhau pour lesfaire aller àdroite .(Acad .) (àgauche ),hott(àdroite ).Cette remarque n'apaspour",Glossaire vaud (1861),Line 2301
objet,,vaud,unknown,d'engager lescharretiers àmodifier leurlangage àcet,Glossaire vaud (1861),Line 2305
endroit,,vaud,unknown,";mais elle fournit l'occasion dedire que lesmots dia,huhau setrouvent dans ledictionnaire ,tandis queles",Glossaire vaud (1861),Line 2306
mots,"huïo,hott nes'ytrouvent pas",vaud,unknown,"huïo,hott nes'ytrouvent pas.",Glossaire vaud (1861),Line 2308
dediable,Acad .,vaud,unknown,".(Acad .)N.P.dianstre . raffe;D.ilaladiarrhée . tée,àladictée .",Glossaire vaud (1861),Line 2310
verbe, 74 DIE,vaud,unknown,. 74 DIE,Glossaire vaud (1861),Line 2317
fère,,vaud,unknown,àmon Dieu !employé àtout propos .,Glossaire vaud (1861),Line 2320
sivement,,vaud,unknown,"quel'onditdudinde ,manger dudinde ;D.undin- don,ouunedinde .",Glossaire vaud (1861),Line 2325
dudîner,,vaud,unknown,",jelepriededîner ;sijel'engage àvenir dîner chez moi,jeleprie àdîner .",Glossaire vaud (1861),Line 2328
mais,,vaud,unknown,"pronominal .N.P.jepeux medîner ,ilpeut sedîner",Glossaire vaud (1861),Line 2331
avec,despommes deterre ,vaud,unknown,despommes deterre .,Glossaire vaud (1861),Line 2332
acceptions,demande à,vaud,unknown,quelesdictionnaires n'admettent pas.Ainsi :dis àPaul s'ilveut meprêter uneplume (demande à).Comment,Glossaire vaud (1861),Line 2334
dit-onàcemonsieur,appelle -t-on,vaud,unknown,"(appelle -t-on).Cen'est paspour dire, (pour mevanter )mais jesuisplus fortquelui.",Glossaire vaud (1861),Line 2336
vent,,vaud,unknown,àtort cesdeux mots l'un pour l'autre .Ondécrédite,Glossaire vaud (1861),Line 2340
unmarchand,,vaud,unknown,enattaquant saprobité ;ondiscrédite unemar-,Glossaire vaud (1861),Line 2341
chandise,enattaquant saqualité ,vaud,unknown,enattaquant saqualité .,Glossaire vaud (1861),Line 2342
desbiens,,vaud,unknown,d'un débiteur pour lesfaire vendre enjustice .Le,Glossaire vaud (1861),Line 2344
motdécrêt,,vaud,unknown,nepeut passedire pour discussion .Faire décrét d'un débiteur .,Glossaire vaud (1861),Line 2345
minin,,vaud,unknown,.,Glossaire vaud (1861),Line 2349
puter,Acad .,vaud,unknown,contre quelqu'un .(Acad .)Ilnefaut donc pasdire dis-,Glossaire vaud (1861),Line 2353
puter,,vaud,unknown,quelqu'un .Mon mari medispute P.F.Cependant dis-,Glossaire vaud (1861),Line 2354
puter,,vaud,unknown,"estaussi v.a.Ainsi onpeut diredisputer unprix,une",Glossaire vaud (1861),Line 2355
chaire,Acad .,vaud,unknown,"deprofesseur .(Acad .)-Avoir unedébattue ,uneforte",Glossaire vaud (1861),Line 2356
débattue,,vaud,unknown,;unprocès àquatre débattues ;ces expressions,Glossaire vaud (1861),Line 2357
propos,,vaud,unknown,".N.P.unavale -royaume ;D.undissipateur ,unmange- tout.Avale -royaume nepeut pasmieux sedirepour glou- ton;D.unavale -dru.",Glossaire vaud (1861),Line 2360
estquestion,N.P.leditm'aappris ;jeletiens dudit,vaud,unknown,.N.P.leditm'aappris ;jeletiens dudit.,Glossaire vaud (1861),Line 2364
vorcé,ouilsontfaitdivorce ,vaud,unknown,",ouilsontfaitdivorce .",Glossaire vaud (1861),Line 2366
devant,,vaud,unknown,unevoyelle etdice àlafind'une phrase :ilsétaient dix.L'expression faire lesdixheures P.F.,Glossaire vaud (1861),Line 2368
unnom,,vaud,unknown,depersonne ;ainsi ilnefaut pasdire enfant docile à,Glossaire vaud (1861),Line 2371
sesparents,,vaud,unknown,;mais ondirait très bien :enfant docile auxvolon-,Glossaire vaud (1861),Line 2372
tésdeses,parents ,vaud,unknown,parents .,Glossaire vaud (1861),Line 2373
faire,nono ,vaud,unknown,nono .,Glossaire vaud (1861),Line 2375
ditdedeux,,vaud,unknown,personnes extrêmement unies d'amitié .N.P.ils,Glossaire vaud (1861),Line 2377
sont,,vaud,unknown,"cul etchemise .Semettre ledoigt dans l'œil,pour se",Glossaire vaud (1861),Line 2378
tromper,P.F,vaud,unknown,",P.F.",Glossaire vaud (1861),Line 2379
tard,,vaud,unknown,A.rencontre B.etlui demande :l'avez -vous trouvée,Glossaire vaud (1861),Line 2381
bonne,,vaud,unknown,"?Oui,répond B.,dommage dupeu.Cette locution 76 DON",Glossaire vaud (1861),Line 2382
dondaine,,vaud,unknown,".Onlitdans H.Estienne ,àl'occasion decedernier",Glossaire vaud (1861),Line 2387
mot,,vaud,unknown,:,Glossaire vaud (1861),Line 2388
grosses,,vaud,unknown,"pierres rondes ,onadonné sonnom àtoutes leschoses qui",Glossaire vaud (1861),Line 2390
présentaient,lamême signification ,vaud,unknown,lamême signification .,Glossaire vaud (1861),Line 2391
dictionnaires,,vaud,unknown,.,Glossaire vaud (1861),Line 2393
vindonne,,vaud,unknown,"dans latête;c'est-à-dire,levinentête ,étourdit .-",Glossaire vaud (1861),Line 2395
personne,,vaud,unknown,"dontjeparle .D'où,adv.,exprime uneidée d'ex-",Glossaire vaud (1861),Line 2398
traction,,vaud,unknown,",desortie :laville d'oùjeviens ,lepéril d'où ilest",Glossaire vaud (1861),Line 2399
sorti,,vaud,unknown,". n'est pas admise ;mais onpeut dire:porter quelqu'un sur sondos,cequisignifie enêtre ennuyé .",Glossaire vaud (1861),Line 2400
boire,"duvin,P.F",vaud,unknown,"duvin,P.F.",Glossaire vaud (1861),Line 2407
leplus,,vaud,unknown,court chemin .N.P.j'aipris laroute de.....pour me,Glossaire vaud (1861),Line 2409
dresser,,vaud,unknown,". tion.Onamalopéré lepartage ,jen'aipaseumon droit,",Glossaire vaud (1861),Line 2410
magnin,Onlitdans Villon ,vaud,unknown,.Onlitdans Villon :,Glossaire vaud (1861),Line 2417
cassin,etNicolette ,vaud,unknown,etNicolette :,Glossaire vaud (1861),Line 2424
unes,,vaud,unknown,des difficultés que présente l'emploi decette lettre .,Glossaire vaud (1861),Line 2428
chènevotte,,vaud,unknown,",chevrier ,degré ,dehors ,désir,désirer ,devancer ,",Glossaire vaud (1861),Line 2430
devenir,,vaud,unknown,",fêlé,fêler ,gêner ,gênant ,gènevois ,grêler ,mêler ,",Glossaire vaud (1861),Line 2431
mesure,,vaud,unknown,",mesurer ,recéler ,recéleur ,récolte ,récolter ,réconci-",Glossaire vaud (1861),Line 2432
liation,se,vaud,unknown,",réconcilier ,récréer (se),recrépir ,récrier (se),refroi- dir,refuge ,réfugier (se),réfuter ,rehausser ,relatif ,relation ,",Glossaire vaud (1861),Line 2433
relativement,,vaud,unknown,",religion ,remesurer ,repartir ,répertoire ,ré-",Glossaire vaud (1861),Line 2435
plique,pr.recentiment,vaud,unknown,",répliquer ,répugner ,ressentiment (pr.recentiment ),",Glossaire vaud (1861),Line 2436
ressentir,pr.recentir,vaud,unknown,"(pr.recentir ),rétracter ,rétrécir ,rétrograder ,rê- ver,réverbération ,réverbère ,réviser ,révision ,révolte ,ré-",Glossaire vaud (1861),Line 2437
volter,se,vaud,unknown,"(se),second (pr.cegon ),seconder (pr.cegonder ),",Glossaire vaud (1861),Line 2439
secouer,,vaud,unknown,",secourir ,secousse ,secrétaire ,semestre ,serinette ,",Glossaire vaud (1861),Line 2440
séquelle,,vaud,unknown,",séquestre ,séquestrer ,société ,têter ,tétine ,téton .",Glossaire vaud (1861),Line 2441
nom,,vaud,unknown,d'aiguasin àlaliqueur produite par ladistillation,Glossaire vaud (1861),Line 2443
delaracine,,vaud,unknown,"delagentiane .LeDict .roman ,wallon ,donne",Glossaire vaud (1861),Line 2444
aiguardin,,vaud,unknown,pour l'équivalent d'eau -de-vie.,Glossaire vaud (1861),Line 2445
emboire,,vaud,unknown,",cambouillir . 78 EBU",Glossaire vaud (1861),Line 2447
lapeau,,vaud,unknown,".N.P.ébollution ,ébollition . c'est-à-dire l'enveloppe extérieure ;ondit,dans lemême",Glossaire vaud (1861),Line 2452
sens,,vaud,unknown,",écaler uneamande ,unœuf.N.P.piller ,plucher .",Glossaire vaud (1861),Line 2455
battiorer,D.écanguer oubroyer ,vaud,unknown,;D.écanguer oubroyer .,Glossaire vaud (1861),Line 2457
cailler,,vaud,unknown,",écarabouiller ;D.écarbouiller latête ,lacervelle ;",Glossaire vaud (1861),Line 2459
pop,,vaud,unknown,.,Glossaire vaud (1861),Line 2460
yeux,N.P.écarabiller ,vaud,unknown,.N.P.écarabiller .,Glossaire vaud (1861),Line 2462
cisément,,vaud,unknown,"leGlossaire ,jenepuis résister auplaisir deciter",Glossaire vaud (1861),Line 2464
veau,,vaud,unknown,:lesécheveaux sont composés dedixoudouze éche-,Glossaire vaud (1861),Line 2472
vettes,Sup.Voyez aussi Besch .,vaud,unknown,.(Sup.Voyez aussi Besch .),Glossaire vaud (1861),Line 2473
pas,,vaud,unknown,dire échouer unexamen ;D.échouer dans unexamen .,Glossaire vaud (1861),Line 2476
ci-dessus,,vaud,unknown,;mais laphrase suivante meparaît légitimer ma,Glossaire vaud (1861),Line 2478
construction,Boiste .,vaud,unknown,":Onn'échoue jamais sivite dans lesaffaires quelorsqu'on n'yvoitaucune difficulté .(Boiste .) cequ'il ignore .Eclairer àquelqu'un ,v.n.,c'est luifaire",Glossaire vaud (1861),Line 2479
voir,,vaud,unknown,clair sursonpassage àl'aide d'une lumière :éclairez àMonsieur .Leverbe clairer P.F.Onnepeut donc pas,Glossaire vaud (1861),Line 2483
dire,,vaud,unknown,lalune claire ;ilfaut dire lalune éclaire .,Glossaire vaud (1861),Line 2486
éclater,pouffer derire,vaud,unknown,",pouffer derire.",Glossaire vaud (1861),Line 2488
enfant,,vaud,unknown,"estécorché .-Erafler ,v.a.,écorcher légèrement ,",Glossaire vaud (1861),Line 2492
effleurer,Acad .,vaud,unknown,"lapeau.(Acad .)N.P.seribler .(Reiben ,enalle-",Glossaire vaud (1861),Line 2493
mand,signifie frotter .),vaud,unknown,",signifie frotter .)",Glossaire vaud (1861),Line 2494
égousser,,vaud,unknown,.,Glossaire vaud (1861),Line 2498
attaché,,vaud,unknown,àunlong bâton pour nettoyer unfour .N.P.un,Glossaire vaud (1861),Line 2500
écové,,vaud,unknown,".Ontrouve dans Villon : «Non ,etledeust -onvifbrusler comme unchevaucheur d'esco-",Glossaire vaud (1861),Line 2501
vettes,!>>>,vaud,unknown,!>>>,Glossaire vaud (1861),Line 2503
dreausabbat,Voyez cedernier mot.,vaud,unknown,.(Voyez cedernier mot.) l'écové est une scrte debalai .Voir leDict .R.W. aumot,Glossaire vaud (1861),Line 2505
parquelque,,vaud,unknown,"effort .N.P.acraser ,épécler ,éclafer ;D.écra- ser,écacher ,écarbouiller .—N.P.semotter ,troiller leraisin ,",Glossaire vaud (1861),Line 2510
sens,,vaud,unknown,denotre mot éclafer .-,Glossaire vaud (1861),Line 2513
recevoir,,vaud,unknown,"del'encre ,soit unpetit meuble quicontient les 80 ÉCU",Glossaire vaud (1861),Line 2517
choses,,vaud,unknown,nécessaires pour écrire .Dans lapremière acception,Glossaire vaud (1861),Line 2519
uneécritoire,,vaud,unknown,"prend aussi lenom d'encrier ,s.m.",Glossaire vaud (1861),Line 2520
enfants,,vaud,unknown,",c'est lancer despierres surlasurface del'eau sous",Glossaire vaud (1861),Line 2522
unangle,,vaud,unknown,telqu'elles fassent une série dericochets .D.faire,Glossaire vaud (1861),Line 2523
des,FLORIAN .,vaud,unknown,ricochets . (FLORIAN .) grand'chère àquelqu'un .(Acad .)N.P.mettre tout par les,Glossaire vaud (1861),Line 2524
écuelles,,vaud,unknown,.,Glossaire vaud (1861),Line 2532
uneécuelle,delait;D.uneécuellée ,vaud,unknown,delait;D.uneécuellée .,Glossaire vaud (1861),Line 2534
souliers,,vaud,unknown,.,Glossaire vaud (1861),Line 2536
sont,,vaud,unknown,"passynonymes ,comme onpeut s'en assurer enconsul-",Glossaire vaud (1861),Line 2539
tant,Acad .,vaud,unknown,"ledictionnaire .Ecurie ,lieu destiné àloger desche- vaux,desmulets .(Acad .)Etable ,lieuoùl'onmetdesbœufs ,",Glossaire vaud (1861),Line 2540
desvaches,,vaud,unknown,",desbrebis etautres bestiaux .Etable àbœufs ,à",Glossaire vaud (1861),Line 2542
vaches,Acad .,vaud,unknown,",àcochons .(Acad .)",Glossaire vaud (1861),Line 2543
personnes,,vaud,unknown,quisepiquent deparler purement .-Induquer,Glossaire vaud (1861),Line 2546
deseffeuilles,,vaud,unknown,";D.l'effeuillage ,letemps del'effeuillage .",Glossaire vaud (1861),Line 2549
effort,Besch .,vaud,unknown,";suée P.F. ser,rendre stérile ,enparlant desterres .(Besch .)Lemot",Glossaire vaud (1861),Line 2551
ruiner,,vaud,unknown,"nepeut pass'employer dans cesens. linge,c'est lepasser dans l'eau claire pour ôter lesavon .",Glossaire vaud (1861),Line 2555
linge,,vaud,unknown,"sale dans l'eau avant delelessiver .N.P.tremper ,",Glossaire vaud (1861),Line 2559
échanger,,vaud,unknown,.,Glossaire vaud (1861),Line 2560
motaunautre,,vaud,unknown,"sens.Quant auxmots graffigner ,égrati- gner,onlitdans H.Etienne : «Etceux quinesont accoustumez qu'au parler deceste ville ,où",Glossaire vaud (1861),Line 2562
onneditpoint,,vaud,unknown,autrement quegraphigner ouégraphigner ...»,Glossaire vaud (1861),Line 2565
lemotégraphigner,,vaud,unknown,",onlitdans leJardin desRacines grec-",Glossaire vaud (1861),Line 2567
quesqueceverbe,vient deagraphein ,vaud,unknown,vient deagraphein .,Glossaire vaud (1861),Line 2568
donner,,vaud,unknown,unélan.Onpeut dire aussi prendre son escousse ;,Glossaire vaud (1861),Line 2570
mais,Acad .,vaud,unknown,"cemot estfam.etpeu usité .(Acad .) lade:cedoit melance ,oumefaitdes lancées ;D.cedoigt m'élance oumecause des élancements .",Glossaire vaud (1861),Line 2571
étoffe,Acad .,vaud,unknown,s'est élimée enmoins derien.(Acad .)N.P.s'estlimée .,Glossaire vaud (1861),Line 2577
unfaiseur,,vaud,unknown,",unefaiseuse d'embarras ;mais onneditpasfaire",Glossaire vaud (1861),Line 2580
sonouses,,vaud,unknown,"embarras . Cen'est pasl'embarras c'est bien cher;ilfaitbien froid ,n'est-cepas?-Oui,cen'estpas l'embarras ,P.F.Dites ,c'estvrai,ouprenez unautre tour. 82 EMB",Glossaire vaud (1861),Line 2581
vialité,,vaud,unknown,.,Glossaire vaud (1861),Line 2589
dire,,vaud,unknown,d'un ouvrier quiprend trop d'étoffe d'un côté enfai-,Glossaire vaud (1861),Line 2592
sant,,vaud,unknown,"une couture ,qu'il emboit .",Glossaire vaud (1861),Line 2593
roles,,vaud,unknown,"indécentes .N.P.mal bouché ,mal embauché .",Glossaire vaud (1861),Line 2595
enforme,"N.P.embauchoir ,embochoir ",vaud,unknown,".N.P.embauchoir ,embochoir .",Glossaire vaud (1861),Line 2597
mot,,vaud,unknown,"ayant une autre signification .Onpeut dire crotter ,se",Glossaire vaud (1861),Line 2599
crotter,,vaud,unknown,.,Glossaire vaud (1861),Line 2600
remoler,chaffer ,vaud,unknown,",chaffer .",Glossaire vaud (1861),Line 2602
demanière,,vaud,unknown,qu'elles s'emboîtent lesunes avec lesautres .,Glossaire vaud (1861),Line 2604
prendre,,vaud,unknown,lamouche .Comme ils'embronche facilement !P.F.,Glossaire vaud (1861),Line 2606
uncorps,,vaud,unknown,"entre lesdoigts ,demanière àlemettre enpe-",Glossaire vaud (1861),Line 2611
tites,Acad .,vaud,unknown,"parties :émier dupain,delacassonade ,del'alun . (Acad .)Emietter ,réduire dupain enpetits morceaux ,en",Glossaire vaud (1861),Line 2612
miettes,Acad .,vaud,unknown,.(Acad .),Glossaire vaud (1861),Line 2614
émouleur,"unremouleur ,ungagne -petit",vaud,unknown,",unremouleur ,ungagne -petit.",Glossaire vaud (1861),Line 2616
fondi,,vaud,unknown,unematière depuis peu detemps .Ilestfrais émoulu,Glossaire vaud (1861),Line 2618
surcette,,vaud,unknown,"matière .N.P.ilestfrais moulu ,ilestfrais et",Glossaire vaud (1861),Line 2619
moulu, cité.N.P.démoustiller ,vaud,unknown,. cité.N.P.démoustiller .,Glossaire vaud (1861),Line 2620
petitdoigt,,vaud,unknown,",dans leur plus grand écart .N.P.long d'une main,dedeux mains ,etc.D.long d'un empan ,dedeux",Glossaire vaud (1861),Line 2626
empans,etc,vaud,unknown,",etc.",Glossaire vaud (1861),Line 2628
desonesprit,,vaud,unknown,",l'enjôler .Onnepeut donc pas dire empaи- merquelqu'un dans lesens deluidonner saconfiance ,de",Glossaire vaud (1861),Line 2630
leprotéger,,vaud,unknown,",delemettre enévidence d'une manière favo-",Glossaire vaud (1861),Line 2632
rable,,vaud,unknown,.,Glossaire vaud (1861),Line 2633
unechose,onempêche quelqu'un de,vaud,unknown,;onempêche quelqu'un de....,Glossaire vaud (1861),Line 2635
pelotonner,,vaud,unknown,.,Glossaire vaud (1861),Line 2637
paraît,,vaud,unknown,cependant avoir desaïeux .Onlitdans leconte inti-,Glossaire vaud (1861),Line 2639
tulé,,vaud,unknown,:La comtesse dePonthieu :...,Glossaire vaud (1861),Line 2640
Seriez,"Emblées pour embarrassées ,empêchées",vaud,unknown,"vous plus emblées quedemoi. (Emblées pour embarrassées ,empêchées ).",Glossaire vaud (1861),Line 2641
bolamen,,vaud,unknown,"signifie empêchement .Enfin ,dans leDict.roman-",Glossaire vaud (1861),Line 2646
wallon,"etc.,onlit",vaud,unknown,",etc.,onlit:",Glossaire vaud (1861),Line 2647
jambes,,vaud,unknown,",pour l'empêcher des'éloigner .",Glossaire vaud (1861),Line 2649
mouillemot,,vaud,unknown,.,Glossaire vaud (1861),Line 2651
peutdire,,vaud,unknown,"unpiffre ,c'est-à-dire,ungoulu ,ungourmand . 84 EMP",Glossaire vaud (1861),Line 2653
verbe,empletter P.F,vaud,unknown,empletter P.F.,Glossaire vaud (1861),Line 2657
empois,,vaud,unknown,.,Glossaire vaud (1861),Line 2659
desphrases,delanature decelle-ci:Comment appelez-,vaud,unknown,delanature decelle-ci:Comment appelez-,Glossaire vaud (1861),Line 2661
vous,,vaud,unknown,cefruit ?Onenditdes nèfles ..,Glossaire vaud (1861),Line 2662
estunecorruption,,vaud,unknown,"deinquant ,formé dulatin inquantum ,",Glossaire vaud (1861),Line 2664
pour,combien ,vaud,unknown,combien .,Glossaire vaud (1861),Line 2665
action,,vaud,unknown,".Les mots encavage ,décavage ,P.F.",Glossaire vaud (1861),Line 2667
lesens,,vaud,unknown,desortir levindelacave;c'est unterme dejeu.,Glossaire vaud (1861),Line 2669
préfaituneenclave,,vaud,unknown,dans celui demon voisin . ched'une flèche .Signifie aussi :faire descoches surunmor-,Glossaire vaud (1861),Line 2672
ceau,,vaud,unknown,"debois,soitpour desrepères ,soitpour marquer des",Glossaire vaud (1861),Line 2676
fournitures,,vaud,unknown,".-Entailler ,v.a.Faire uneentaille dans quel-",Glossaire vaud (1861),Line 2677
quechose,,vaud,unknown,",creuser unepièce debois pour yemboîter une",Glossaire vaud (1861),Line 2678
autre,pièce ,vaud,unknown,pièce .,Glossaire vaud (1861),Line 2679
peuvent,,vaud,unknown,pasexactement s'employer l'unpour l'autre .(Voyez,Glossaire vaud (1861),Line 2681
taille,,vaud,unknown,.) tre;mais onnepeut pasdire d'une seule personne qu'elle s'encourage ;D.elletravaille avec courage .,Glossaire vaud (1861),Line 2682
habits,,vaud,unknown,";D.encrasser seshabits .-S'encrasser ,v.pr.peut",Glossaire vaud (1861),Line 2687
signifier,serouiller l'esprit ,vaud,unknown,serouiller l'esprit .,Glossaire vaud (1861),Line 2688
lasse,aucanon .N.P.culasser ,vaud,unknown,aucanon .N.P.culasser .,Glossaire vaud (1861),Line 2691
chevrer,,vaud,unknown,. d'une affaire .,Glossaire vaud (1861),Line 2693
enenfance,,vaud,unknown,.,Glossaire vaud (1861),Line 2701
file-toidans,,vaud,unknown,"une allée ,P.F. soit!Ex.:Buvons encore une bouteille .Non ,j'aiassez bu. Plus qu'une ?-Enfin voilà .-Enfin voilà ,jesuis",Glossaire vaud (1861),Line 2704
content,etc,vaud,unknown,",etc.",Glossaire vaud (1861),Line 2708
ruiner,,vaud,unknown,.,Glossaire vaud (1861),Line 2711
ches,,vaud,unknown,debois que l'on met àunbois delitpour soutenir la,Glossaire vaud (1861),Line 2713
paillasse,Acad .,vaud,unknown,",lesmatelas .(Acad .)N.P.unfond delit,lesplan- chesdulit;D.l'enfonçure dulit.",Glossaire vaud (1861),Line 2714
unemauvaise,,vaud,unknown,"affaire ;D.ils'est enfourné ,ouils'est engagé",Glossaire vaud (1861),Line 2717
dans,,vaud,unknown,une mauvaise affaire .,Glossaire vaud (1861),Line 2718
veau,,vaud,unknown,.,Glossaire vaud (1861),Line 2720
decrier,,vaud,unknown,;D.jemesuisengoué àforce decrier .-N.P.cet 86 ENG,Glossaire vaud (1861),Line 2722
enfant,"Pr.é-no-cé,ilcé-no-ce.",vaud,unknown,"s'anosse ,s'étanche ;D.s'engoue . Enosser peut se dire,mais signifie boucher legosier avec unos:ils'enosse . (Pr.é-no-cé,ilcé-no-ce.)",Glossaire vaud (1861),Line 2724
fossé,,vaud,unknown,.,Glossaire vaud (1861),Line 2730
dit,,vaud,unknown,:cela m'ennuie àlamort .,Glossaire vaud (1861),Line 2735
tuasbien,,vaud,unknown,"dequoi t'encroire ,pour tun'as pasàt'enorgueil- lir.",Glossaire vaud (1861),Line 2737
roue,,vaud,unknown,.,Glossaire vaud (1861),Line 2740
aquelques,,vaud,unknown,années surdespoteaux placés aubord desroutes,Glossaire vaud (1861),Line 2743
dans,quelques endroits ,vaud,unknown,quelques endroits :,Glossaire vaud (1861),Line 2744
traîne,,vaud,unknown,. d'un sac:iladessaqué sesécus.,Glossaire vaud (1861),Line 2746
seigne,,vaud,unknown,;D.qu'à bonnes enseignes .,Glossaire vaud (1861),Line 2753
avant,,vaud,unknown,del'enfermer dans lecercueil .N.P.mettre unmort à,Glossaire vaud (1861),Line 2756
droit,,vaud,unknown,";D.ensevelir unmort . cemot.)N.P.unensevelissement pour unconvoi ,unenter-",Glossaire vaud (1861),Line 2757
rement,J'aivupasser unensevelissement P.F,vaud,unknown,.J'aivupasser unensevelissement P.F.,Glossaire vaud (1861),Line 2760
nasme,,vaud,unknown,"vicieux ,comme dans cette phrase :ils'habilla etpuis",Glossaire vaud (1861),Line 2762
ensuite,,vaud,unknown,"ilsortit ;D.ils'habilla etpuis ilsortit ,ouetensuite",Glossaire vaud (1861),Line 2763
