swiss_french,standard_french,dialect,part_of_speech,definition,source,notes
COU,,vaud,noun_masculine,"Tordre lasenaille ,pour tordre lecou,P.F.",Glossaire Vaudois (1861),DCG parsed
COUCHAGE,,vaud,noun_masculine,"COUCHÉE ,s.f.Couchage .Cequ'on",Glossaire Vaudois (1861),DCG parsed
COUCHER,,vaud,verb_pronominal,"N.P.aller coucher ,allons cou-",Glossaire Vaudois (1861),DCG parsed
N,"aller secoucher ,allons nous coucher .",vaud,unknown,"P. en- cher ;D.aller secoucher ,allons nous coucher .",Glossaire Vaudois (1861),DCG parsed
COUENNE,,vaud,noun_feminine,N.P.delacouanne .,Glossaire Vaudois (1861),DCG parsed
COUENNEUX,,vaud,adjective,Delanature delacouenne ;sang,Glossaire Vaudois (1861),DCG parsed
COUETTE,,vaud,noun_feminine,Litdeplume .N.P.coitre .,Glossaire Vaudois (1861),DCG parsed
COULEUR,,vaud,noun_feminine,"Endire,enfaire detoutes lescouleurs ,",Glossaire Vaudois (1861),DCG parsed
P,,vaud,unknown,"F.Onpeut diredetoutes lesfaçons ,detoutes lessortes .",Glossaire Vaudois (1861),DCG parsed
COULISSE,,vaud,noun_feminine,"N.P.colisse .-Rempli d'un vêtement ,",Glossaire Vaudois (1861),DCG parsed
COUP,,vaud,noun_masculine,"N.P.donner ungnobet ,untapin ,unpé-",Glossaire Vaudois (1861),DCG parsed
COUPER,,vaud,verb_active,N.P.couper l'herbe sous lespieds à,Glossaire Vaudois (1861),DCG parsed
N,tailler lasoupe .(Voy.lemotsoupe .),vaud,unknown,P.couper lasoupe ;D.tailler lasoupe .(Voy.lemotsoupe .),Glossaire Vaudois (1861),DCG parsed
N,,vaud,unknown,"P.casser lesbras etlesjambes ,casser bras etjambes .",Glossaire Vaudois (1861),DCG parsed
COURAILLER,,vaud,verb_neutral,"Fréquentatif decourir ,courir fré-",Glossaire Vaudois (1861),DCG parsed
COURIR,,vaud,verb_neutral,Neseconjugue paspronominalement .,Glossaire Vaudois (1861),DCG parsed
N,,vaud,unknown,"P.secourir après .-Courir ,dans lesens depoursuivre",Glossaire Vaudois (1861),DCG parsed
COURT,"rester court ,ou-",vaud,adverb,"N.P.rester enplan ;D.rester court ,ou-",Glossaire Vaudois (1861),DCG parsed
COURTILLÈRE,,vaud,noun_feminine,"ouTAUPE -GRILLON ,s.f.In-",Glossaire Vaudois (1861),DCG parsed
COURTINE,,vaud,noun_feminine,Onlitdans leDictionnaire deBes-,Glossaire Vaudois (1861),DCG parsed
COUSIN,,vaud,noun_masculine,"LeDict.del'Acad .donne l'expression ,",Glossaire Vaudois (1861),DCG parsed
COUSSIN,,vaud,noun_masculine,N.P.uncoissin .,Glossaire Vaudois (1861),DCG parsed
Puis,,vaud,unknown,...fendit lacoitte etcoissin endeux .,Glossaire Vaudois (1861),DCG parsed
COUTER,"quoi qu'il coûte ,",vaud,verb_active,"N.P.coûte quicoûte ;D.quoi qu'il coûte ,",Glossaire Vaudois (1861),DCG parsed
COUTRE,,vaud,noun_masculine,Remarquez legenre decesubst .Ondit,Glossaire Vaudois (1861),DCG parsed
COUVER,,vaud,verb_neutral,Mettre sous soiuncouvet pour sechauf-,Glossaire Vaudois (1861),DCG parsed
COUVERCLE,,vaud,noun_masculine,N.P.lecouvert d'un vase.,Glossaire Vaudois (1861),DCG parsed
COUVERTURE,,vaud,noun_feminine,"N.P.une couverte delit,delivre ;",Glossaire Vaudois (1861),DCG parsed
D,,vaud,unknown,"unecouverture delit,delivre. Faire lacouverture ,",Glossaire Vaudois (1861),DCG parsed
COUVREUR,,vaud,noun_masculine,Artisan dont lemétier estdecouvrir,Glossaire Vaudois (1861),DCG parsed
COYER,,vaud,noun_masculine,Petit vaisseau deboisquise,Glossaire Vaudois (1861),DCG parsed
CRACHAT,,vaud,noun_masculine,"Peut sedire,mais crache P.F.Dites la",Glossaire Vaudois (1861),DCG parsed
P,,vaud,unknown,F.,Glossaire Vaudois (1861),DCG parsed
CRAIE,,vaud,noun_feminine,N.P.delagraie .,Glossaire Vaudois (1861),DCG parsed
CRAINTE,,vaud,noun_feminine,"N.P.decrainte qu'ilvienne ,crainte qu'il",Glossaire Vaudois (1861),DCG parsed
CRAMPONNER,,vaud,verb_pronominal,Signifie s'attacher fortement,Glossaire Vaudois (1861),DCG parsed
N,appréhender quelqu'un .,vaud,unknown,P.cramponner quelqu'un ;D.appréhender quelqu'un .,Glossaire Vaudois (1861),DCG parsed
CRAPAUD,,vaud,noun_masculine,N.P.unbot.,Glossaire Vaudois (1861),DCG parsed
CRAQUER,,vaud,verb_neutral,"Signifie mentir ,hâbler ,sevanter mal",Glossaire Vaudois (1861),DCG parsed
P,,vaud,unknown,"F.Onpeut dire ilcraque ,c'est uncraqueur ,une cra-",Glossaire Vaudois (1861),DCG parsed
CRASSANE,une cras-,vaud,noun_feminine,N.P.unepoire crasane ;D.une cras-,Glossaire Vaudois (1861),DCG parsed
CRASSE,,vaud,noun_feminine,"N.P.delagreube ,delaraufe .-Lesver-",Glossaire Vaudois (1861),DCG parsed
CRAVATE,,vaud,noun_feminine,N.P.unegravate .,Glossaire Vaudois (1861),DCG parsed
CRAYON,,vaud,noun_masculine,"N.P.créon ,gréon ,grayon .",Glossaire Vaudois (1861),DCG parsed
CRÉDIT,,vaud,noun_masculine,"Onpeutdire,faire crédit ,donner àcré-",Glossaire Vaudois (1861),DCG parsed
CRÉMAILLÈRE,,vaud,noun_feminine,"Lesmots cremaillère ,cramailler ,",Glossaire Vaudois (1861),DCG parsed
CRÈPE,,vaud,noun_feminine,Pâte unpeuplus délayée quecelle desbei-,Glossaire Vaudois (1861),DCG parsed
CRÉPI,,vaud,noun_masculine,"ouCRÉPISSURE ,s.f.N.P.crépissage ,",Glossaire Vaudois (1861),DCG parsed
CRÉPINETTE,,vaud,noun_feminine,N.P.atrio.,Glossaire Vaudois (1861),DCG parsed
CRÉTIN,,vaud,noun_masculine,"N.P.cretin . ALausanne ,tagué est",Glossaire Vaudois (1861),DCG parsed
CRIC,,vaud,noun_masculine,Instrument pour soulever lesfar-,Glossaire Vaudois (1861),DCG parsed
CRIER,,vaud,verb_neutral,N.P.cette porte pioule quand onl'ouvre .,Glossaire Vaudois (1861),DCG parsed
D,,vaud,unknown,"cette porte criequand ,etc. Sicler ,faire dessiclées ,",Glossaire Vaudois (1861),DCG parsed
P,,vaud,unknown,F.-Leverbe sisclar s'est ditpour siffler :,Glossaire Vaudois (1861),DCG parsed
CRITIQUE,,vaud,noun_feminine,"N.P.crétique ,crétiquer .",Glossaire Vaudois (1861),DCG parsed
CROC,,vaud,noun_masculine,-Croc -en-jambes .(Pr.krokan-,Glossaire Vaudois (1861),DCG parsed
CROCHET,,vaud,noun_masculine,Petites boucles decheveux que les,Glossaire Vaudois (1861),DCG parsed
CROIX,,vaud,noun_feminine,"Faire unecroix ,faire sacroix ,tracer une",Glossaire Vaudois (1861),DCG parsed
CROQUER,,vaud,verb_neutral,"Cemot estfrançais ,mais ilnepeut",Glossaire Vaudois (1861),DCG parsed
CROQUIGNOLE,,vaud,noun_feminine,Espèce dechiquenaude .N.P.,Glossaire Vaudois (1861),DCG parsed
CROTTER,,vaud,verb_active,"Salir ,sesalir deboue .N.P.gauler ,se",Glossaire Vaudois (1861),DCG parsed
CROTTIN,,vaud,noun_masculine,Excréments dequelques animaux :,Glossaire Vaudois (1861),DCG parsed
R,,vaud,unknown,W.,Glossaire Vaudois (1861),DCG parsed
CROTU,,vaud,adjective,Peut sedire pour être marqué delapetite,Glossaire Vaudois (1861),DCG parsed
CROUP,,vaud,noun_masculine,Sorte d'angine quiattaque lesenfants .,Glossaire Vaudois (1861),DCG parsed
N,,vaud,unknown,P.legroup .,Glossaire Vaudois (1861),DCG parsed
GLOSS,,vaud,unknown,VAUD . 5,Glossaire Vaudois (1861),DCG parsed
CROUPTONS,,vaud,adverb,D'une manière accroupie .N.P.,Glossaire Vaudois (1861),DCG parsed
CROUSTILLEUX,,vaud,adjective,Peut sedire dans lesens de,Glossaire Vaudois (1861),DCG parsed
N,"uneaffaire délicate ,épi-",vaud,unknown,"P.uneaffaire croustilleuse ;D.uneaffaire délicate ,épi-",Glossaire Vaudois (1861),DCG parsed
CROUTE,,vaud,noun_feminine,"Casser lacroûte ,pour manger ,P.F.",Glossaire Vaudois (1861),DCG parsed
CRUCHÉE,,vaud,noun_feminine,"Plein unecruche .N.P.,dans cesens,",Glossaire Vaudois (1861),DCG parsed
CRUE,"ila,il",vaud,noun_feminine,"N.P.ila,iln'apasfaitsoncrû;D.ila,il",Glossaire Vaudois (1861),DCG parsed
CUILLER,,vaud,noun_feminine,"ouCUILLÈRE .N.P.cueuiller ,cueuil-",Glossaire Vaudois (1861),DCG parsed
CUILLERÉE,,vaud,noun_feminine,Plein unecuiller .N.P.unecueuil-,Glossaire Vaudois (1861),DCG parsed
CUIR,,vaud,noun_masculine,N.P.faire dubien d'autrui large courroie ;,Glossaire Vaudois (1861),DCG parsed
D,,vaud,unknown,"faire ducuir d'autrui large courroie ,cequisignifie être",Glossaire Vaudois (1861),DCG parsed
D,,vaud,unknown,une cuisse -madame .,Glossaire Vaudois (1861),DCG parsed
CUISSON,,vaud,noun_feminine,"Lesmots cuisage ,cuison ,P.F.",Glossaire Vaudois (1861),DCG parsed
CUITE,,vaud,noun_feminine,Enparlant des choses quinesemangent,Glossaire Vaudois (1861),DCG parsed
CULBUTE,,vaud,noun_feminine,Jeud'enfants .N.P.faire lacupesse ;,Glossaire Vaudois (1861),DCG parsed
D,,vaud,unknown,faire laculbute . Lemot cupesse nepeut pasnon plus,Glossaire Vaudois (1861),DCG parsed
CULBUTER,,vaud,verb_neutral,N.P.calbuter .,Glossaire Vaudois (1861),DCG parsed
CULOT,,vaud,noun_masculine,"Ledernier néouéclos d'une portée ,d'une",Glossaire Vaudois (1861),DCG parsed
CULOTTE,,vaud,noun_feminine,Voy.pantalon .,Glossaire Vaudois (1861),DCG parsed
CURAÇAO,,vaud,noun_masculine,Liqueur .N.P.ducui-,Glossaire Vaudois (1861),DCG parsed
CUSCUTE,,vaud,noun_feminine,Petite plante parasite quis'attache au,Glossaire Vaudois (1861),DCG parsed
CUVIER,,vaud,noun_masculine,Sorte decuve ordinairement enbois dont,Glossaire Vaudois (1861),DCG parsed
CYNORHODON,,vaud,noun_masculine,Fruit del'églantier .N.P.kyna-,Glossaire Vaudois (1861),DCG parsed
DADA,,vaud,noun_masculine,Cemot estfrançais ;mais ilnepeut se,Glossaire Vaudois (1861),DCG parsed
DADAIS,,vaud,noun_masculine,"Niais ,nigaud .N.P.daderi-",Glossaire Vaudois (1861),DCG parsed
DAM,,vaud,noun_masculine,Dommage .,Glossaire Vaudois (1861),DCG parsed
DARIOLE,,vaud,noun_feminine,Sorte depâtisserie .N.P.dariole pour,Glossaire Vaudois (1861),DCG parsed
DARTRE,,vaud,noun_feminine,"Maladie delapeau.N.P.unedarte ,une",Glossaire Vaudois (1861),DCG parsed
DATE,endate du....,vaud,noun_feminine,N.P.sous date du;...D.endate du....,Glossaire Vaudois (1861),DCG parsed
DAVANTAGE,,vaud,adverb,Cemot comme adv.rejette tout,Glossaire Vaudois (1861),DCG parsed
DÉBARBOUILLER,,vaud,verb_active,"N.P.déboucharder ,dégreuber .",Glossaire Vaudois (1861),DCG parsed
DÉBINE,,vaud,noun_feminine,Etat d'une personne quifaitmal sesaf-,Glossaire Vaudois (1861),DCG parsed
DÉBONDER,,vaud,verb_neutral,"N.P.j'ailecœur plein ,ilfaut que",Glossaire Vaudois (1861),DCG parsed
D,,vaud,unknown,debonne heure .,Glossaire Vaudois (1861),DCG parsed
DÉCAMPER,,vaud,verb_neutral,"Déloger ,déguerpir .N.P.débouler .",Glossaire Vaudois (1861),DCG parsed
DÉCESSER,,vaud,verb_neutral,Setrouve dans quelques dictionnaires ;,Glossaire Vaudois (1861),DCG parsed
DÉCHET,,vaud,noun_masculine,Ilfautavoir soinderemplir lestonneaux,Glossaire Vaudois (1861),DCG parsed
DÉCHIQUETER,,vaud,verb_active,N.P.déchicoter .,Glossaire Vaudois (1861),DCG parsed
DÉCHIRER,,vaud,verb_active,"N.P.échirer ,dépondre .-Lesverbes",Glossaire Vaudois (1861),DCG parsed
DÉCROIT,,vaud,noun_masculine,Neseditquedelalune:laluneest,Glossaire Vaudois (1861),DCG parsed
DÉCROTTOIR,,vaud,noun_masculine,"Lame defer,ouboîte garnie de",Glossaire Vaudois (1861),DCG parsed
DÉCROTTOIRE,,vaud,noun_feminine,Sorte debrosse pour décrotter .,Glossaire Vaudois (1861),DCG parsed
DÉDIT,,vaud,noun_masculine,Undédit demille francs .N.P.unedédite .,Glossaire Vaudois (1861),DCG parsed
DÉFIER,jel'endéfie.,vaud,verb_active,N.P.jeluiendéfie;D.jel'endéfie.,Glossaire Vaudois (1861),DCG parsed
DÉFIGURER,,vaud,verb_active,Gâter lafigure .N.P.dévisager .,Glossaire Vaudois (1861),DCG parsed
DÉFINITION,,vaud,noun_feminine,"Cemotnepeut sedirepour fin,dé-",Glossaire Vaudois (1861),DCG parsed
DÉGINGẠNDÉ,,vaud,adjective,"Quin'apasunecontenance assurée ,",Glossaire Vaudois (1861),DCG parsed
DÉGOURDIR,,vaud,verb,"a,TIÉDIR ,v.n.Faire chauffer unpeu.",Glossaire Vaudois (1861),DCG parsed
N,,vaud,unknown,"P.démourtir ,étiédir . Onditdégourdir ,déniaiser ,dé-",Glossaire Vaudois (1861),DCG parsed
DÉGOUTTANT,toutdé-,vaud,adjective,N.P.toutdépurant ;D.toutdé-,Glossaire Vaudois (1861),DCG parsed
DÉGRAFER,,vaud,verb_active,N.P.désagrafer .,Glossaire Vaudois (1861),DCG parsed
DÉGRINGOLER,,vaud,verb_neutral,"N.P.rebedouler ,rebater .",Glossaire Vaudois (1861),DCG parsed
DÉGUENILLÉ,,vaud,adjective,N.P.dépatoillu .,Glossaire Vaudois (1861),DCG parsed
DÉHARNACHER,,vaud,verb_active,Oter leharnais .N.P.désarna-,Glossaire Vaudois (1861),DCG parsed
DEHORS,,vaud,adverb,N.P.déhors . N. P. vous êtes hors de,Glossaire Vaudois (1861),DCG parsed
DÉJA,,vaud,adverb,Nous employons abusivement lemot déjà,Glossaire Vaudois (1861),DCG parsed
DÉJETER,,vaud,verb_pronominal,"Secourber ,segauchir enparlant",Glossaire Vaudois (1861),DCG parsed
DÉJEUNER,un,vaud,noun_masculine,N.P.undéjeuner -dinatoire ;D.un,Glossaire Vaudois (1861),DCG parsed
N,,vaud,unknown,P.undéjeuner ausoleil .,Glossaire Vaudois (1861),DCG parsed
DÉJEUNER,,vaud,verb_neutral,Déjeuner veutavecdevant unnomde,Glossaire Vaudois (1861),DCG parsed
DELEATUR,,vaud,noun_masculine,Terme d'imprimerie ;,Glossaire Vaudois (1861),DCG parsed
DÉLICATER,,vaud,verb_active,Traiter avec mollesse :ilnefautpas,Glossaire Vaudois (1861),DCG parsed
DÉMÉNAGER,,vaud,verb_active,"etn.N.P.débagager ,remuer .Cette",Glossaire Vaudois (1861),DCG parsed
DEMOISELLE,,vaud,noun_feminine,Pièce deboisferrée pour enfoncer,Glossaire Vaudois (1861),DCG parsed
DENT,"être surlesdents ,être",vaud,noun_feminine,"N.P.être àcrac ;D.être surlesdents ,être",Glossaire Vaudois (1861),DCG parsed
D,lesdents mo-,vaud,unknown,les dents œillères .N.P.les marteaux ;D.lesdents mo-,Glossaire Vaudois (1861),DCG parsed
DÉPARIER,dé-,vaud,verb_active,"N.P.dépareiller desgants ,etc.D.dé-",Glossaire Vaudois (1861),DCG parsed
DÉPARTAGER,,vaud,verb_active,"Faire cesser lepartage desvoix,",Glossaire Vaudois (1861),DCG parsed
DÉPECER,,vaud,verb_active,N.P.dépécer .,Glossaire Vaudois (1861),DCG parsed
DÉPENAILLÉ,,vaud,adjective,Peut sedire;mais signifie couvert,Glossaire Vaudois (1861),DCG parsed
DÉPRESSER,,vaud,verb_active,Cemotestfrançais ;mais nous l'em-,Glossaire Vaudois (1861),DCG parsed
DÉRAISONNER,,vaud,verb_neutral,Tenir desdiscours dénués derai-,Glossaire Vaudois (1861),DCG parsed
DERNIER,,vaud,noun_masculine,N.P.lepétoillon pour ledernier ;ilest,Glossaire Vaudois (1861),DCG parsed
DERNIER,,vaud,adjective,"N'admet nicomparatif ,nisuperlatif .",Glossaire Vaudois (1861),DCG parsed
DÉROCHER,,vaud,verb_active,Décrasser lesmétaux etl'émail à,Glossaire Vaudois (1861),DCG parsed
DÉSAPPRENDRE,,vaud,verb_active,N.P.déperdre ;iladéperdu son,Glossaire Vaudois (1861),DCG parsed
DESCENDRE,,vaud,verb_active,"Descendre lagarde pour mourir ,",Glossaire Vaudois (1861),DCG parsed
P,,vaud,unknown,F.,Glossaire Vaudois (1861),DCG parsed
DESSERRE,,vaud,noun_masculine,"Etre duràladesserre ,avoir delapeine",Glossaire Vaudois (1861),DCG parsed
DÉTEINDRE,,vaud,verb_neutral,N.P.déteindre pour éteindre ;détein-,Glossaire Vaudois (1861),DCG parsed
DÉTENTE,,vaud,noun_feminine,"Ladétente d'unfusil.N.P.legatillon ,le",Glossaire Vaudois (1861),DCG parsed
DÉTRAQUER,,vaud,verb_active,"Déranger .SEDÉTRAQUER ,se",Glossaire Vaudois (1861),DCG parsed
DÉTRUIRE,,vaud,verb_active,N.P.destruire .,Glossaire Vaudois (1861),DCG parsed
DEVIS,,vaud,noun_masculine,N.P.undėvis .,Glossaire Vaudois (1861),DCG parsed
DEVISE,,vaud,noun_feminine,N.P.unedévise .,Glossaire Vaudois (1861),DCG parsed
DIANTRE,,vaud,noun_masculine,Mottrèsfamilier dont onsesertaulieu,Glossaire Vaudois (1861),DCG parsed
DIARRHÉE,,vaud,noun_feminine,"Dévoiement .N.P.ilalarifle,ilala",Glossaire Vaudois (1861),DCG parsed
DICASTÈRE,,vaud,noun_masculine,Cemotest-ilfrançais ?,Glossaire Vaudois (1861),DCG parsed
DICTÉE,écrire sousladic-,vaud,noun_feminine,N.P.écrire sousdictée ;D.écrire sousladic-,Glossaire Vaudois (1861),DCG parsed
DICTON,,vaud,noun_masculine,Motsententieux passé enpro-,Glossaire Vaudois (1861),DCG parsed
DIGESTION,,vaud,noun_feminine,N.P.digection .,Glossaire Vaudois (1861),DCG parsed
DIMANCHE,ledimanche .,vaud,noun_masculine,N.P.ladimanche ;D.ledimanche .,Glossaire Vaudois (1861),DCG parsed
DINDE,,vaud,noun_feminine,"Ladinde étant lafemelle dudindon ,c'est abu-",Glossaire Vaudois (1861),DCG parsed
DINER,,vaud,noun_masculine,Siquelqu'un setrouve chez moiàl'heure,Glossaire Vaudois (1861),DCG parsed
DINER,,vaud,verb_neutral,Voyez déjeuner .-Leverbe dîner n'est ja-,Glossaire Vaudois (1861),DCG parsed
DIRE,,vaud,verb_active,Nous employons leverbe diredans plusieurs,Glossaire Vaudois (1861),DCG parsed
DISCUSSION,,vaud,noun_feminine,Discussion debiens signifie :recherche,Glossaire Vaudois (1861),DCG parsed
P,,vaud,unknown,"F.;ilfaut dire:discuter undébiteur ,discuter lesbiens",Glossaire Vaudois (1861),DCG parsed
DISPARATE,,vaud,noun_feminine,Remarquez quecemotestdugenre fé-,Glossaire Vaudois (1861),DCG parsed
DISPARITION,,vaud,noun_feminine,N.P.disparution .,Glossaire Vaudois (1861),DCG parsed
DISPUTER,,vaud,verb_neutral,"Etre endébat ,avoir contestation .Dis-",Glossaire Vaudois (1861),DCG parsed
P,,vaud,unknown,F.,Glossaire Vaudois (1861),DCG parsed
DISSIPATEUR,,vaud,noun_masculine,Celui quidissipe sonbien malà,Glossaire Vaudois (1861),DCG parsed
DIT,,vaud,noun_masculine,Nepeut signifier lapersonne oulachose dontil,Glossaire Vaudois (1861),DCG parsed
DIVORCER,ilsontdi-,vaud,verb_neutral,N.P.ilssesont divorcés ;D.ilsontdi-,Glossaire Vaudois (1861),DCG parsed
DIX,,vaud,adjective,"Pr.didevant uneconsonne ouunehaspirée ,diz",Glossaire Vaudois (1861),DCG parsed
DOCILE,,vaud,adjective,L'adjectif docile nepeut avoir pour régime,Glossaire Vaudois (1861),DCG parsed
DODO,,vaud,noun_masculine,"Terme enfantin .Faire dodo,dormir .N.P.",Glossaire Vaudois (1861),DCG parsed
DOIGT,,vaud,noun_masculine,"Ilssont comme lesdeux doigts delamain ,se",Glossaire Vaudois (1861),DCG parsed
DOMMAGE,,vaud,noun_masculine,"A.donne unefriandise ,etc.,àB.Plus",Glossaire Vaudois (1861),DCG parsed
P,,vaud,unknown,F.,Glossaire Vaudois (1861),DCG parsed
DONDON,,vaud,noun_feminine,Fille pleine d'embonpoint ;fam.N.P.une,Glossaire Vaudois (1861),DCG parsed
DONNER,le,vaud,verb_neutral,"N.P.levindonne àlatête,parlatête;D.le",Glossaire Vaudois (1861),DCG parsed
N,s'adonne .,vaud,unknown,"P.cethomme sedonne auvice,aujeu,etc.D.s'adonne .",Glossaire Vaudois (1861),DCG parsed
DORÉNAVANT,,vaud,adverb,"N.P.d'ors enavant ,d'ors enlà;",Glossaire Vaudois (1861),DCG parsed
D,,vaud,unknown,"dorénavant ,àl'avenir :dorénavant jeserai plus exact .",Glossaire Vaudois (1861),DCG parsed
DOS,,vaud,noun_masculine,L'expression populaire enavoir plein ledos,Glossaire Vaudois (1861),DCG parsed
DOUVE,,vaud,noun_feminine,"L'expression sécher unedouve ,pour dire",Glossaire Vaudois (1861),DCG parsed
DRESSER,,vaud,verb_pronominal,Nepeut passedire pour :prendre,Glossaire Vaudois (1861),DCG parsed
DROGUER,,vaud,verb_pronominal,N.P.sepotringuer .,Glossaire Vaudois (1861),DCG parsed
DROIT,,vaud,noun_masculine,"Lemotdroit nepeut sedire pour part,por-",Glossaire Vaudois (1861),DCG parsed
P,,vaud,unknown,F.,Glossaire Vaudois (1861),DCG parsed
DROLE,,vaud,adjective,"Gai,plaisant ,singulier .N.P.c'est cocasse .",Glossaire Vaudois (1861),DCG parsed
DROVINEUR,,vaud,noun_masculine,Chaudronnier ambulant .N.P.un,Glossaire Vaudois (1861),DCG parsed
D,,vaud,unknown,"pasdutout,point dutout.Onlitdans lepetit conte d'Au-",Glossaire Vaudois (1861),DCG parsed
E,,vaud,noun_masculine,Cinquième lettre del'alphabet .Voici quelques-,Glossaire Vaudois (1861),DCG parsed
ÉBOUILLIR,,vaud,verb_neutral,Diminuer àforce debouillir .N.P.,Glossaire Vaudois (1861),DCG parsed
ÉBOURIFFÉ,,vaud,adjective,Quialescheveux endésordre .,Glossaire Vaudois (1861),DCG parsed
N,,vaud,unknown,"P.ébourifflé ,écharpiné .",Glossaire Vaudois (1861),DCG parsed
ÉBULLITION,,vaud,noun_feminine,Taches oupustules quiviennent sur,Glossaire Vaudois (1861),DCG parsed
ÉCALER,,vaud,verb_active,"Ecaler unenoix,c'est luienlever l'écale ,",Glossaire Vaudois (1861),DCG parsed
ÉCANGUER,,vaud,verb_active,"Ecanguer lechanvre ,lelin.N.P.",Glossaire Vaudois (1861),DCG parsed
ÉCARBOUILLER,,vaud,verb_active,"Ecraser ,écacher .N.P.écar-",Glossaire Vaudois (1861),DCG parsed
ÉCARQUILLER,,vaud,verb_active,"Ecarter ,ouvrir .Ecarquiller les",Glossaire Vaudois (1861),DCG parsed
ÉCHALAS,,vaud,noun_masculine,Bien quecemot n'intéresse paspré-,Glossaire Vaudois (1861),DCG parsed
ÉCHASSES,,vaud,noun_feminine,plur.N.P.desécafes .,Glossaire Vaudois (1861),DCG parsed
ÉCHAUFFOURÉE,,vaud,noun_feminine,N.P.échaffourée .,Glossaire Vaudois (1861),DCG parsed
ÉCHEVEAU,,vaud,noun_masculine,Echevette nepeut sedire pour éche-,Glossaire Vaudois (1861),DCG parsed
ÉCHIMOSE,,vaud,noun_feminine,N.P.uncassin .,Glossaire Vaudois (1861),DCG parsed
ÉCHOUER,,vaud,verb_neutral,"Lev.échouer étant neutre ,onnepeut",Glossaire Vaudois (1861),DCG parsed
ÉCLAIRER,,vaud,verb_active,"Eclairer quelqu'un ,c'est l'instruire de",Glossaire Vaudois (1861),DCG parsed
ÉCLATER,,vaud,verb_neutral,"N.P.s'éclater ,s'épouffer derire;D.",Glossaire Vaudois (1861),DCG parsed
ÉCLUSE,,vaud,noun_feminine,"Lâcher lesécluses ,pour uriner ,P.F.",Glossaire Vaudois (1861),DCG parsed
ÉCORCHÉ,cet,vaud,adjective,"N.P.cetenfant estbécuit ,écuit;D.cet",Glossaire Vaudois (1861),DCG parsed
ÉCORNIFLER,,vaud,verb_active,N.P.escornifler .,Glossaire Vaudois (1861),DCG parsed
ÉCOSSER,,vaud,verb_active,"Ecosser despois,desfèves.N.P.",Glossaire Vaudois (1861),DCG parsed
ÉCOUVILLÓN,,vaud,noun_masculine,"Signifie ,entre autres ,vieux linge",Glossaire Vaudois (1861),DCG parsed
ÉCRASER,,vaud,verb_active,"Aplatir etbriser parquelque poids ,",Glossaire Vaudois (1861),DCG parsed
ÉCRÉMER,,vaud,verb_active,N.P.écremer .,Glossaire Vaudois (1861),DCG parsed
ÉCREVISSE,,vaud,noun_feminine,N.P.écrivisse .,Glossaire Vaudois (1861),DCG parsed
ÉCRITOIRE,,vaud,noun_feminine,Désigne soitunpetit vase destiné à,Glossaire Vaudois (1861),DCG parsed
ÉCUELLE,,vaud,noun_feminine,"Faire desécuelles ,dans lelangage des",Glossaire Vaudois (1861),DCG parsed
ÉCUELLÉE,,vaud,noun_feminine,Plein uneécuelle .N.P.dans cesens,Glossaire Vaudois (1861),DCG parsed
ÉCULER,,vaud,verb_active,Eculer dessouliers ;N.P.aculer des,Glossaire Vaudois (1861),DCG parsed
ÉCUREUSE,,vaud,noun_feminine,N.P.unerécureuse .,Glossaire Vaudois (1861),DCG parsed
ÉCURIE,,vaud,noun_feminine,"ÉTABLE ,s.f.Lesmots écurie ,étable ne",Glossaire Vaudois (1861),DCG parsed
ÉCUSSON,,vaud,noun_masculine,N.P.écuisson .,Glossaire Vaudois (1861),DCG parsed
ÉDUQUER,,vaud,verb_active,Cemot n'est point employé parles,Glossaire Vaudois (1861),DCG parsed
P,,vaud,unknown,F.,Glossaire Vaudois (1861),DCG parsed
EFFEUILLAGE,,vaud,noun_masculine,"N.P.leseffeuilles ,c'est letemps",Glossaire Vaudois (1861),DCG parsed
EFFORT,,vaud,noun_masculine,N.P.uneforte suée pour ungrand,Glossaire Vaudois (1861),DCG parsed
EFFRITER,,vaud,verb_active,"User ,épuiser uneterre .(Acad .)Epui-",Glossaire Vaudois (1861),DCG parsed
N,,vaud,unknown,"P.essanger dans cesens.Essanger ,c'est mettre du",Glossaire Vaudois (1861),DCG parsed
ÉGRATIGNER,,vaud,verb_active,"N.P.gratigner ,griffer ;cedernier",Glossaire Vaudois (1861),DCG parsed
ÉLAN,"prendre sonélan,se",vaud,noun_masculine,"N.P.s'embrier ;D.prendre sonélan,se",Glossaire Vaudois (1861),DCG parsed
ÉLANCER,,vaud,verb_neutral,"N.P.enparlant d'undoigt ,etc.,ma-",Glossaire Vaudois (1861),DCG parsed
ÉLIXIR,,vaud,noun_masculine,N.P.élexir .,Glossaire Vaudois (1861),DCG parsed
EMBARRAS,,vaud,noun_masculine,"Onpeut dire faire del'embarras ,",Glossaire Vaudois (1861),DCG parsed
GLOSS,,vaud,unknown,VAUD . 6,Glossaire Vaudois (1861),DCG parsed
EMBÊTER,,vaud,verb_active,"estfrançais ,mais deladernière tri-",Glossaire Vaudois (1861),DCG parsed
EMBOIRE,,vaud,verb_neutral,N.P.s'imbiber .Onnepeut donc pas,Glossaire Vaudois (1861),DCG parsed
EMBOUCHÉ,,vaud,adjective,"Quiditdesinjures ,despa-",Glossaire Vaudois (1861),DCG parsed
